action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,remaining_time,dist
26,0,10,20000012,33.9723,167,72,-118.1028,10,1,0,0,27,18,,0,0,Mid-Range,0,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,1,627,181.8598361376145
26,0,254,20000012,34.0163,1,28,-118.2688,8,3,0,0,5,2,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,8,485,28.0178514522438
12,2,100,20000019,34.0443,0,0,-118.2698,0,1,0,0,1,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,17,1,0.0
12,2,249,20000019,34.0443,0,0,-118.2698,10,3,0,0,46,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,20,646,0.0
26,0,4,20000047,33.9683,163,76,-118.1068,11,1,0,0,26,17,,0,0,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,33,686,179.84715733088473
26,0,8,20000047,33.8503,70,194,-118.1998,10,1,0,0,58,20,,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,34,658,206.24257562394823
27,2,26,20000047,34.0253,1,19,-118.2688,7,1,0,0,33,1,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,35,453,19.026297590440446
27,2,37,20000047,34.0293,-12,15,-118.2818,5,1,0,0,58,1,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,36,358,19.209372712298546
34,2,53,20000047,34.0403,1,4,-118.2688,4,1,0,0,9,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,37,249,4.123105625617661
26,0,165,20000047,33.9283,-117,116,-118.3868,5,2,0,0,33,16,,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,38,333,164.7573974060042
27,2,281,20000047,34.0253,-12,19,-118.2818,4,3,0,0,29,2,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,45,269,22.47220505424423
26,0,410,20000047,34.0143,-176,30,-118.4458,3,4,0,0,19,17,,0,1,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,2,50,199,178.53851125177448
26,0,60,20000049,33.7973,-141,247,-118.4108,4,1,0,0,58,28,,1,2,Above the Break 3,3,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,3,55,298,284.41167345944154
26,0,199,20000049,33.8033,146,241,-118.1238,3,2,0,0,10,28,,1,3,Above the Break 3,3,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,3,60,190,281.774732721016
26,0,397,20000049,33.9533,-10,91,-118.2798,10,4,0,0,13,9,,0,4,In The Paint (Non-RA),1,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,3,66,613,91.54780172128658
26,0,22,20000058,34.0083,-119,36,-118.3888,9,1,0,0,6,12,,0,1,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,4,67,546,124.32618388738553
26,0,55,20000058,33.9343,159,110,-118.1108,5,1,0,0,15,19,,0,0,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,4,71,315,193.3416664870767
26,0,313,20000058,33.9973,58,47,-118.2118,11,4,0,0,49,7,,0,4,In The Paint (Non-RA),2,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,4,80,709,74.65252842335616
26,0,20,20000068,33.9743,-29,70,-118.2988,9,1,0,0,48,7,,0,4,In The Paint (Non-RA),2,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,5,85,588,75.76938695805846
56,0,33,20000068,33.9953,-124,49,-118.3938,7,1,0,0,26,13,,0,1,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,5,86,446,133.33041663476493
56,0,180,20000068,34.0403,132,4,-118.1378,4,2,0,0,25,13,,0,0,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,5,95,265,132.06059215375342
26,0,286,20000068,33.9073,-101,137,-118.3708,4,3,0,0,16,17,,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,5,104,256,170.20575783445165
26,0,418,20000068,33.8943,-151,150,-118.4208,0,4,0,0,43,21,,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,5,113,43,212.84031572989173
26,0,217,20000098,33.9913,-155,53,-118.4248,2,2,0,0,40,16,,0,1,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,4,123,160,163.8108665504215
41,0,261,20000098,33.9113,-96,133,-118.3658,9,3,0,0,59,16,,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,4,126,599,164.02743672934722
34,2,327,20000098,34.0443,0,0,-118.2698,2,3,0,0,56,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,4,133,176,0.0
26,0,492,20000098,34.0083,45,36,-118.2248,1,4,0,0,5,5,,0,4,In The Paint (Non-RA),2,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,4,141,65,57.62811813689564
26,0,55,20000108,34.0333,237,11,-118.0328,4,1,0,0,52,23,,1,0,Right Corner 3,3,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,144,292,237.25513693068902
12,2,120,20000108,34.0443,0,0,-118.2698,10,2,0,0,5,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,150,605,0.0
26,0,179,20000108,33.8753,7,169,-118.2628,4,2,0,0,14,16,,0,4,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,152,254,169.14490828872147
12,2,186,20000108,34.0443,0,0,-118.2698,3,2,0,0,22,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,153,202,0.0
50,3,220,20000108,34.0443,0,0,-118.2698,0,2,0,0,26,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,156,26,0.0
33,1,318,20000108,34.0443,0,0,-118.2698,3,3,0,0,53,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,159,233,0.0
15,1,418,20000108,34.0443,0,0,-118.2698,5,4,0,0,32,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,6,165,332,0.0
26,0,77,20000124,33.8503,70,194,-118.1998,1,1,0,0,36,20,,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,7,172,96,206.24257562394823
0,1,328,20000124,34.0443,0,0,-118.2698,11,4,0,0,44,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,7,182,704,0.0
26,0,54,20000140,34.0503,174,-6,-118.0958,6,1,0,0,24,17,,0,0,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,6,192,384,174.1034175425629
12,2,57,20000140,34.0443,0,0,-118.2698,6,1,0,0,2,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,6,193,362,0.0
26,0,100,20000140,34.0403,153,4,-118.1168,0,1,0,0,18,15,,0,0,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,6,196,18,153.05227865013967
26,0,256,20000140,33.9783,-162,66,-118.4318,10,3,0,0,5,17,,0,1,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,6,202,605,174.92855684535903
26,0,411,20000140,33.8883,-214,156,-118.4838,5,4,0,0,19,26,,1,2,Above the Break 3,3,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,6,210,319,264.8244701684495
26,0,425,20000140,33.9073,-149,137,-118.4188,3,4,0,0,38,20,,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,6,211,218,202.41047403728888
5,1,322,20000147,34.0443,0,0,-118.2698,0,3,0,0,4,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,8,228,4,0.0
26,0,56,20000180,33.8903,106,154,-118.1638,6,1,0,0,22,18,,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,10,257,382,186.9545399288287
26,0,86,20000180,33.8903,106,154,-118.1638,3,1,0,0,25,18,,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,10,260,205,186.9545399288287
26,0,256,20000180,33.9073,115,137,-118.1548,9,3,0,0,18,17,,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,10,264,558,178.86866690396056
56,0,308,20000180,34.0633,-141,-19,-118.4108,3,3,0,0,12,14,,0,1,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,10,267,192,142.27438279606065
0,1,62,20000198,34.0443,0,0,-118.2698,5,1,0,0,17,0,,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-27,LAL @ LAC,3,279,317,0.0
