action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,remaining_time,dist
26,0,12,20000012,34.0443,-157,0,-118.4268,10,1,0,0,22,15,0.0,0,1,Mid-Range,1,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,2,622,157.0
26,0,35,20000012,33.9093,-101,135,-118.3708,7,1,0,0,45,16,1.0,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,3,465,168.6001186239203
26,0,43,20000012,33.8693,138,175,-118.1318,6,1,0,0,52,22,0.0,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,4,412,222.86543024883872
5,1,155,20000012,34.0443,0,0,-118.2698,6,2,0,0,19,0,1.0,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,5,379,0.0
26,0,244,20000012,34.0553,-145,-11,-118.4148,9,3,0,0,32,14,0.0,0,1,Mid-Range,1,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,6,572,145.41664278891878
27,2,251,20000012,34.0443,0,0,-118.2698,8,3,0,0,52,0,1.0,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,7,532,0.0
26,0,265,20000012,33.9363,-65,108,-118.3348,6,3,0,0,12,12,1.0,0,1,In The Paint (Non-RA),1,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,9,372,126.05157674539419
41,0,294,20000012,33.9193,-33,125,-118.3028,3,3,0,0,36,12,0.0,0,4,In The Paint (Non-RA),1,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,10,216,129.28263611173776
26,0,309,20000012,33.8063,-94,238,-118.3638,1,3,0,0,56,25,0.0,1,2,Above the Break 3,3,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,0,11,116,255.8906016249913
26,0,4,20000019,33.9173,121,127,-118.1488,11,1,0,0,0,17,1.0,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,12,660,175.41379649275024
41,0,27,20000019,33.9343,-67,110,-118.3368,7,1,0,0,9,12,1.0,0,1,In The Paint (Non-RA),1,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,13,429,128.79829191413992
26,0,66,20000019,34.0403,-94,4,-118.3638,2,1,0,0,44,9,0.0,0,1,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,14,164,94.08506789071261
26,0,80,20000019,33.9973,-23,47,-118.2928,1,1,0,0,16,5,0.0,0,4,In The Paint (Non-RA),2,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,15,76,52.32590180780452
26,0,86,20000019,33.8523,62,192,-118.2078,0,1,0,0,48,20,0.0,0,4,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,16,48,201.76223630798702
26,0,138,20000019,33.8183,-117,226,-118.3868,8,2,0,0,50,25,1.0,1,2,Above the Break 3,3,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,18,530,254.48968544913564
26,0,244,20000019,33.9473,-132,97,-118.4018,11,3,0,0,29,16,0.0,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,19,689,163.8078142214223
26,0,255,20000019,33.9003,3,144,-118.2668,10,3,0,0,8,14,0.0,0,4,Mid-Range,1,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,21,608,144.03124660989366
26,0,265,20000019,33.9173,134,127,-118.1358,9,3,0,0,4,18,0.0,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,22,544,184.6212338816963
41,0,274,20000019,33.9343,-16,110,-118.2858,7,3,0,0,57,11,1.0,0,4,In The Paint (Non-RA),1,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,23,477,111.15754585272202
41,0,299,20000019,33.8943,-109,150,-118.3788,5,3,0,0,47,18,1.0,0,2,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,24,347,185.42114226808118
41,0,307,20000019,33.9813,-46,63,-118.3158,5,3,0,0,11,7,1.0,0,4,In The Paint (Non-RA),2,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,25,311,78.00640999302557
27,2,332,20000019,34.0443,0,0,-118.2698,2,3,0,0,36,0,0.0,0,4,Restricted Area,2,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,26,156,0.0
26,0,345,20000019,33.8483,-58,196,-118.3278,2,3,0,0,4,20,0.0,0,4,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,27,124,204.40156555173445
26,0,369,20000019,33.8583,-183,186,-118.4528,0,3,0,0,30,26,0.0,1,2,Above the Break 3,3,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,28,30,260.93102536877444
26,0,400,20000019,33.8713,85,173,-118.1848,8,4,0,0,19,19,0.0,0,3,Mid-Range,0,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,29,499,192.753728887407
26,0,429,20000019,33.9573,3,87,-118.2668,6,4,0,0,22,8,0.0,0,4,In The Paint (Non-RA),1,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,1,30,382,87.05170877128145
