,HoldOut,Training
100,0.45999999999999996,0.0
200,0.5,0.050000000000000044
300,0.43333333333333335,0.1266666666666667
400,0.43000000000000005,0.16500000000000004
500,0.4,0.21199999999999997
600,0.42000000000000004,0.19666666666666666
700,0.41714285714285715,0.21999999999999997
800,0.39249999999999996,0.24250000000000005
900,0.41555555555555557,0.24444444444444446
1000,0.392,0.266
1100,0.3909090909090909,0.25636363636363635
1200,0.385,0.2866666666666666
1300,0.3984615384615384,0.27692307692307694
1400,0.38428571428571423,0.29428571428571426
1500,0.392,0.29066666666666663
1600,0.375,0.29500000000000004
1700,0.37882352941176467,0.2988235294117647
1800,0.3655555555555555,0.3044444444444444
1900,0.35789473684210527,0.30315789473684207
2000,0.349,0.31399999999999995
2100,0.36476190476190473,0.299047619047619
2200,0.35818181818181816,0.31818181818181823
2300,0.3469565217391304,0.3139130434782609
2400,0.3483333333333334,0.31499999999999995
2500,0.3536,0.3104
2600,0.3484615384615385,0.30846153846153845
2700,0.35037037037037033,0.3118518518518518
2800,0.40142857142857147,0.30785714285714283
2900,0.3855172413793103,0.3158620689655173
3000,0.3646666666666667,0.32333333333333336
3100,0.32838709677419353,0.31225806451612903
3200,0.32499999999999996,0.31875
3300,0.323030303030303,0.31818181818181823
3400,0.3294117647058824,0.3170588235294117
3500,0.3234285714285714,0.31885714285714284
3600,0.3194444444444444,0.31499999999999995
3700,0.3345945945945946,0.3086486486486486
3800,0.3247368421052632,0.3136842105263158
3900,0.3358974358974359,0.31333333333333335
4000,0.33199999999999996,0.30900000000000005
4100,0.32487804878048776,0.30975609756097566
4200,0.3185714285714286,0.31000000000000005
4300,0.326046511627907,0.3079069767441861
4400,0.31227272727272726,0.31227272727272726
4500,0.3204444444444444,0.31333333333333335
4600,0.3178260869565217,0.3160869565217391
4700,0.3229787234042554,0.31319148936170216
4800,0.32999999999999996,0.3129166666666666
4900,0.32326530612244897,0.310204081632653
5000,0.31720000000000004,0.3116
5100,0.31843137254901965,0.30980392156862746
5200,0.3153846153846154,0.3092307692307692
5300,0.31999999999999995,0.310566037735849
5400,0.31481481481481477,0.3103703703703704
5500,0.3236363636363636,0.3109090909090909
5600,0.3196428571428571,0.31321428571428567
5700,0.31719298245614036,0.30947368421052635
5800,0.3182758620689655,0.3117241379310345
5900,0.3138983050847458,0.31423728813559326
6000,0.32133333333333336,0.31299999999999994
6100,0.31672131147540983,0.3114754098360656
6200,0.31999999999999995,0.3080645161290323
6300,0.32698412698412693,0.3085714285714286
6400,0.31718749999999996,0.3090625
6500,0.3273846153846154,0.3076923076923077
6600,0.316969696969697,0.3136363636363636
6700,0.3176119402985075,0.31343283582089554
6800,0.3179411764705883,0.31000000000000005
6900,0.31971014492753624,0.31362318840579706
7000,0.32171428571428573,0.31314285714285717
7100,0.31690140845070425,0.31098591549295773
7200,0.32138888888888884,0.30972222222222223
7300,0.3208219178082192,0.3117808219178082
7400,0.32432432432432434,0.3113513513513514
7500,0.3322666666666667,0.30933333333333335
7600,0.32999999999999996,0.3078947368421052
7700,0.32805194805194804,0.30987012987012985
7800,0.3341025641025641,0.30974358974358973
7900,0.3291139240506329,0.30759493670886073
8000,0.32875,0.31025
8100,0.32839506172839505,0.3103703703703704
8200,0.32999999999999996,0.31243902439024396
8300,0.33060240963855425,0.31132530120481927
8400,0.3304761904761905,0.3119047619047619
8500,0.3291764705882353,0.31247058823529417
8600,0.32999999999999996,0.31255813953488376
8700,0.3317241379310345,0.31080459770114943
8800,0.33204545454545453,0.31227272727272726
8900,0.33123595505617975,0.3150561797752809
9000,0.33111111111111113,0.31333333333333335
9100,0.3325274725274725,0.3096703296703297
9200,0.3321739130434782,0.31130434782608696
9300,0.3331182795698925,0.31204301075268814
9400,0.3314893617021276,0.31297872340425537
9500,0.3193684210526315,0.31242105263157893
9600,0.3175,0.3129166666666666
9700,0.31752577319587627,0.31195876288659796
9800,0.33122448979591834,0.31326530612244896
9900,0.3171717171717172,0.31252525252525254
10000,0.31779999999999997,0.3116
10100,0.3174257425742574,0.31128712871287134
10200,0.316078431372549,0.31137254901960787
