,HoldOut,Training
100,0.33999999999999997,0.0
200,0.53,0.0
300,0.4933333333333333,0.0
400,0.45499999999999996,0.0
500,0.43600000000000005,0.0
600,0.42000000000000004,0.0
700,0.4542857142857143,0.0
800,0.5125,0.0
900,0.4866666666666667,0.0
1000,0.45799999999999996,0.0
1100,0.4509090909090909,0.0
1200,0.45166666666666666,0.0
1300,0.45999999999999996,0.0
1400,0.4414285714285714,0.0
1500,0.43466666666666665,0.0
1600,0.42500000000000004,0.0
1700,0.43529411764705883,0.0
1800,0.4311111111111111,0.0
1900,0.4178947368421052,0.0
2000,0.405,0.0
2100,0.3990476190476191,0.0
2200,0.40636363636363637,0.0
2300,0.4304347826086956,0.0
2400,0.42833333333333334,0.0
2500,0.42479999999999996,0.0
2600,0.4346153846153846,0.0
2700,0.4311111111111111,0.0
2800,0.43500000000000005,0.0
2900,0.44965517241379316,0.0
3000,0.43733333333333335,0.0
3100,0.4419354838709677,0.0
3200,0.42437499999999995,0.0
3300,0.4303030303030303,0.0
3400,0.4188235294117647,0.0
3500,0.4177142857142857,0.0
3600,0.4388888888888889,0.0
3700,0.432972972972973,0.0
3800,0.4189473684210526,0.0
3900,0.43487179487179484,0.0
4000,0.43700000000000006,0.0
4100,0.43024390243902444,0.0
4200,0.41428571428571426,0.0
4300,0.42837209302325585,0.0
4400,0.41681818181818187,0.0
4500,0.4222222222222223,0.0
4600,0.4404347826086956,0.00043478260869567187
4700,0.4276595744680851,0.00042553191489358433
4800,0.42625,0.0004166666666666208
4900,0.43510204081632653,0.00040816326530612734
5000,0.43479999999999996,0.00039999999999995595
5100,0.436078431372549,0.00039215686274507444
5200,0.4361538461538461,0.00038461538461542766
5300,0.4411320754716981,0.00037735849056608206
5400,0.41666666666666663,0.00037037037037035425
5500,0.43745454545454543,0.0003636363636363438
5600,0.4492857142857143,0.00035714285714283367
5700,0.4301754385964912,0.000350877192982435
5800,0.42931034482758623,0.00034482758620690834
5900,0.42203389830508475,0.0003389830508474523
6000,0.42466666666666664,0.0003333333333332966
6100,0.4229508196721311,0.0003278688524590567
6200,0.42032258064516126,0.00032258064516133
6300,0.41301587301587306,0.0003174603174602719
6400,0.41874999999999996,0.00031250000000004885
6500,0.4221538461538461,0.0003076923076923421
6600,0.43060606060606066,0.00030303030303024947
6700,0.43164179104477607,0.00029850746268655914
6800,0.42117647058823526,0.0002941176470587781
6900,0.4318840579710145,0.00028985507246381825
7000,0.43885714285714283,0.00028571428571433355
7100,0.41211267605633806,0.00028169014084511446
7200,0.4288888888888889,0.0002777777777778212
7300,0.4328767123287671,0.0002739726027397582
7400,0.4354054054054054,0.0002702702702702675
7500,0.4264,0.0002666666666666373
7600,0.4163157894736842,0.000263157894736854
7700,0.4314285714285714,0.00025974025974029313
7800,0.43538461538461537,0.0002564102564102111
7900,0.42860759493670886,0.00025316455696200446
8000,0.42125,0.00024999999999997247
8100,0.4153086419753086,0.0002469135802468658
8200,0.4290243902439025,0.00024390243902439046
8300,0.42771084337349397,0.0002409638554217164
8400,0.43047619047619046,0.00023809523809525945
8500,0.43929411764705883,0.00023529411764711128
8600,0.4469767441860465,0.00023255813953493298
8700,0.46781609195402296,0.00022988505747123522
8800,0.4259090909090909,0.00022727272727274261
8900,0.43685393258426963,0.00022471910112364935
9000,0.44866666666666666,0.00022222222222223476
9100,0.4505494505494505,0.0002197802197801968
9200,0.4421739130434783,0.00021739130434783593
9300,0.4511827956989247,0.00021505376344088667
9400,0.44957446808510637,0.00021276595744679216
9500,0.4416842105263158,0.0002105263157894388
9600,0.4364583333333333,0.0002083333333333659
9700,0.42474226804123716,0.00020618556701035295
9800,0.41836734693877553,0.00020408163265306367
9900,0.4313131313131313,0.00020202020202020332
10000,0.43100000000000005,0.00019999999999997797
10100,0.44059405940594054,0.0001980198019801982
10200,0.436078431372549,0.00019607843137259273
10300,0.44601941747572815,0.0001941747572815622
10400,0.4357692307692308,0.00019230769230771383
10500,0.4327619047619048,0.00019047619047618536
10600,0.4390566037735849,0.00018867924528298552
10700,0.4293457943925234,0.00018691588785046953
10800,0.39481481481481484,0.00018518518518517713
10900,0.39926605504587154,0.00018348623853214896
11000,0.4161818181818182,0.0001818181818181719
11100,0.41549549549549547,0.00018018018018017834
11200,0.4080357142857143,0.00017857142857147235
11300,0.4201769911504425,0.0001769911504424515
11400,0.4222807017543859,0.00017543859649127302
11500,0.4158260869565218,0.00017391304347824654
11600,0.4272413793103448,0.00017241379310339866
11700,0.43299145299145303,0.00017094017094021474
11800,0.4345762711864407,0.00016949152542378165
11900,0.42957983193277316,0.0001680672268907779
12000,0.4325,0.0001666666666666483
12100,0.4304132231404959,0.0001652892561982977
12200,0.4283606557377049,0.00016393442622952836
12300,0.43203252032520323,0.0001626016260162233
12400,0.417258064516129,0.0001612903225806095
12500,0.42016,0.000160000000000049
12600,0.41761904761904767,0.00015873015873013596
12700,0.42362204724409447,0.0001574803149606563
12800,0.44609374999999996,0.00015624999999996891
12900,0.4446511627906977,0.00015503875968991832
13000,0.43338461538461537,0.00015384615384617106
13100,0.4280916030534351,0.00015267175572519776
13200,0.42287878787878785,0.00015151515151512474
13300,0.4264661654135339,0.00015037593984967845
13400,0.42716417910447757,0.00014925373134333508
13500,0.42400000000000004,0.0001481481481481195
13600,0.4291176470588235,0.00014705882352938904
13700,0.42686131386861315,0.00014598540145982497
13800,0.4408695652173913,0.00014492753623185362
13900,0.43208633093525184,0.00014388489208627675
14000,0.4452857142857143,0.00014285714285711126
14100,0.4411347517730496,0.00014184397163119478
14200,0.43183098591549296,0.00014084507042255723
14300,0.43762237762237766,0.00013986013986011514
14400,0.4290277777777778,0.0002777777777778212
14500,0.4395862068965517,0.0002758620689655711
14600,0.4467123287671233,0.0002739726027397582
14700,0.43714285714285717,0.00027210884353745524
14800,0.4405405405405406,0.0002702702702702675
14900,0.4461744966442953,0.00026845637583894355
15000,0.4350666666666667,0.0002666666666666373
15100,0.4328476821192053,0.00026490066225171027
15200,0.4419736842105263,0.000263157894736854
15300,0.4376470588235294,0.0002614379084967533
15400,0.4311688311688312,0.00025974025974029313
15500,0.44025806451612903,0.0002580645161290862
15600,0.4425641025641026,0.0002564102564102111
15700,0.4355414012738853,0.0002547770700637164
15800,0.4372151898734177,0.00025316455696200446
15900,0.4327044025157233,0.0002515723270439807
16000,0.445875,0.00024999999999997247
16100,0.4393788819875777,0.0002484472049689712
16200,0.4435802469135802,0.00037037037037035425
16300,0.4582822085889571,0.00036809815950922253
16400,0.46560975609756095,0.0003658536585365857
16500,0.461939393939394,0.0003636363636363438
16600,0.44554216867469876,0.0003614457831325746
16700,0.4520958083832335,0.0003592814371257136
16800,0.43154761904761907,0.00035714285714283367
16900,0.4420118343195266,0.00035502958579880506
17000,0.42976470588235294,0.0003529411764705559
17100,0.4392982456140351,0.000350877192982435
17200,0.4279069767441861,0.00034883720930234396
17300,0.4417341040462428,0.000346820809248527
17400,0.43482758620689654,0.00034482758620690834
17500,0.4426285714285715,0.00034285714285708924
17600,0.43420454545454545,0.0003409090909091139
17700,0.43310734463276834,0.0003389830508474523
