,HandOut,Training
100,0.52,1.0
200,0.58,1.0
300,0.46,1.0
400,0.465,1.0
500,0.532,1.0
600,0.49333333333333335,1.0
700,0.5085714285714286,1.0
800,0.525,1.0
900,0.5222222222222223,1.0
1000,0.53,1.0
1100,0.5381818181818182,1.0
1200,0.5483333333333333,1.0
1300,0.556923076923077,1.0
1400,0.5457142857142857,1.0
1500,0.5426666666666666,1.0
1600,0.53375,1.0
1700,0.5364705882352941,1.0
1800,0.5377777777777778,1.0
1900,0.5368421052631579,1.0
2000,0.533,1.0
2100,0.5352380952380953,1.0
2200,0.5327272727272727,1.0
2300,0.5347826086956522,1.0
2400,0.5308333333333334,1.0
2500,0.5304,1.0
2600,0.536923076923077,0.9992307692307693
2700,0.5437037037037037,0.9992592592592593
2800,0.555,0.9992857142857143
2900,0.56,0.9993103448275862
3000,0.5606666666666666,0.9986666666666667
3100,0.5567741935483871,0.9987096774193548
3200,0.559375,0.99875
3300,0.5593939393939394,0.9987878787878788
3400,0.5558823529411765,0.9988235294117647
3500,0.5565714285714286,0.9988571428571429
3600,0.5533333333333333,0.9988888888888889
3700,0.5481081081081081,0.9989189189189189
3800,0.5547368421052632,0.9989473684210526
3900,0.5579487179487179,0.9989743589743589
4000,0.5635,0.999
4100,0.5614634146341464,0.9990243902439024
4200,0.5647619047619048,0.9990476190476191
4300,0.5627906976744186,0.9990697674418605
4400,0.5604545454545454,0.9990909090909091
4500,0.5626666666666666,0.9991111111111111
4600,0.5656521739130435,0.9986956521739131
4700,0.5676595744680851,0.9987234042553191
4800,0.56625,0.99875
4900,0.5697959183673469,0.9987755102040816
5000,0.5692,0.9988
5100,0.5643137254901961,0.9988235294117647
5200,0.5692307692307692,0.9988461538461538
5300,0.569811320754717,0.9988679245283019
5400,0.5725925925925925,0.9988888888888889
5500,0.5716363636363636,0.9989090909090909
5600,0.5735714285714286,0.9989285714285714
5700,0.5750877192982456,0.9989473684210526
5800,0.5737931034482758,0.9989655172413793
5900,0.5742372881355933,0.9989830508474576
6000,0.5756666666666667,0.999
6100,0.5790163934426229,0.9990163934426229
6200,0.5741935483870968,0.9990322580645161
6300,0.5704761904761905,0.9990476190476191
6400,0.5715625,0.9990625
6500,0.5726153846153846,0.9990769230769231
6600,0.5757575757575758,0.9990909090909091
6700,0.5773134328358209,0.9988059701492538
6800,0.575,0.9988235294117647
6900,0.5742028985507246,0.998840579710145
7000,0.5734285714285714,0.9988571428571429
7100,0.5763380281690141,0.9985915492957746
7200,0.5755555555555556,0.9986111111111111
7300,0.5769863013698631,0.9983561643835617
7400,0.5767567567567567,0.9983783783783784
7500,0.572,0.9984
7600,0.57,0.9986842105263158
7700,0.5696103896103896,0.9987012987012988
7800,0.5707692307692308,0.9987179487179487
7900,0.5683544303797469,0.9982278481012659
8000,0.56725,0.998
8100,0.5654320987654321,0.9980246913580247
8200,0.5619512195121952,0.9980487804878049
8300,0.5619277108433735,0.9980722891566265
8400,0.5611904761904762,0.9980952380952381
8500,0.5632941176470588,0.9981176470588236
8600,0.5630232558139535,0.998139534883721
8700,0.5632183908045977,0.9981609195402299
8800,0.565,0.9981818181818182
8900,0.5642696629213483,0.9982022471910112
9000,0.5642222222222222,0.9982222222222222
9100,0.5632967032967033,0.9982417582417582
9200,0.5608695652173913,0.9982608695652174
9300,0.5565591397849462,0.9982795698924731
9400,0.5582978723404255,0.9980851063829788
9500,0.5585263157894736,0.9978947368421053
9600,0.5595833333333333,0.9977083333333333
9700,0.557319587628866,0.9977319587628866
9800,0.5575510204081633,0.9975510204081632
9900,0.5587878787878788,0.9975757575757576
10000,0.559,0.9974
10100,0.5574257425742575,0.9972277227722772
10200,0.5572549019607843,0.9970588235294118
10300,0.5535922330097087,0.9970873786407767
10400,0.5521153846153846,0.9969230769230769
10500,0.551047619047619,0.9969523809523809
10600,0.549433962264151,0.9967924528301887
10700,0.548785046728972,0.996822429906542
10800,0.5488888888888889,0.9968518518518519
10900,0.5513761467889908,0.996697247706422
11000,0.5503636363636364,0.9965454545454545
11100,0.5490090090090091,0.9965765765765766
11200,0.5485714285714286,0.9966071428571428
11300,0.5454867256637168,0.9966371681415929
