,HandOut,Training
100,0.52,1.0
200,0.5,0.95
300,0.5666666666666667,0.8733333333333333
400,0.57,0.835
500,0.6,0.788
600,0.58,0.8033333333333333
700,0.5828571428571429,0.78
800,0.6075,0.7575
900,0.5844444444444444,0.7555555555555555
1000,0.608,0.734
1100,0.6090909090909091,0.7436363636363637
1200,0.615,0.7133333333333334
1300,0.6015384615384616,0.7230769230769231
1400,0.6157142857142858,0.7057142857142857
1500,0.608,0.7093333333333334
1600,0.625,0.705
1700,0.6211764705882353,0.7011764705882353
1800,0.6344444444444445,0.6955555555555556
1900,0.6421052631578947,0.6968421052631579
2000,0.651,0.686
2100,0.6352380952380953,0.700952380952381
2200,0.6418181818181818,0.6818181818181818
2300,0.6530434782608696,0.6860869565217391
2400,0.6516666666666666,0.685
2500,0.6464,0.6896
2600,0.6515384615384615,0.6915384615384615
2700,0.6496296296296297,0.6881481481481482
2800,0.5985714285714285,0.6921428571428572
2900,0.6144827586206897,0.6841379310344827
3000,0.6353333333333333,0.6766666666666666
3100,0.6716129032258065,0.687741935483871
3200,0.675,0.68125
3300,0.676969696969697,0.6818181818181818
3400,0.6705882352941176,0.6829411764705883
3500,0.6765714285714286,0.6811428571428572
3600,0.6805555555555556,0.685
3700,0.6654054054054054,0.6913513513513514
3800,0.6752631578947368,0.6863157894736842
3900,0.6641025641025641,0.6866666666666666
4000,0.668,0.691
4100,0.6751219512195122,0.6902439024390243
4200,0.6814285714285714,0.69
4300,0.673953488372093,0.6920930232558139
4400,0.6877272727272727,0.6877272727272727
4500,0.6795555555555556,0.6866666666666666
4600,0.6821739130434783,0.6839130434782609
4700,0.6770212765957446,0.6868085106382978
4800,0.67,0.6870833333333334
4900,0.676734693877551,0.689795918367347
5000,0.6828,0.6884
5100,0.6815686274509803,0.6901960784313725
5200,0.6846153846153846,0.6907692307692308
5300,0.68,0.689433962264151
5400,0.6851851851851852,0.6896296296296296
5500,0.6763636363636364,0.6890909090909091
5600,0.6803571428571429,0.6867857142857143
5700,0.6828070175438596,0.6905263157894737
5800,0.6817241379310345,0.6882758620689655
5900,0.6861016949152542,0.6857627118644067
6000,0.6786666666666666,0.687
6100,0.6832786885245902,0.6885245901639344
6200,0.68,0.6919354838709677
6300,0.6730158730158731,0.6914285714285714
6400,0.6828125,0.6909375
6500,0.6726153846153846,0.6923076923076923
6600,0.683030303030303,0.6863636363636364
6700,0.6823880597014925,0.6865671641791045
6800,0.6820588235294117,0.69
6900,0.6802898550724638,0.6863768115942029
7000,0.6782857142857143,0.6868571428571428
7100,0.6830985915492958,0.6890140845070423
7200,0.6775,0.6880555555555555
7300,0.6791780821917808,0.6884931506849316
7400,0.6756756756756757,0.6886486486486486
7500,0.6677333333333333,0.6906666666666667
7600,0.67,0.6921052631578948
7700,0.671948051948052,0.6901298701298701
7800,0.6658974358974359,0.6902564102564103
7900,0.6708860759493671,0.6924050632911393
8000,0.67125,0.68975
8100,0.671604938271605,0.6896296296296296
8200,0.67,0.687560975609756
8300,0.6693975903614457,0.6872289156626507
8400,0.6695238095238095,0.6880952380952381
8500,0.6708235294117647,0.6875294117647058
8600,0.67,0.6874418604651162
8700,0.6687356321839081,0.6901149425287356
8800,0.6679545454545455,0.6877272727272727
8900,0.6687640449438202,0.6849438202247191
9000,0.6688888888888889,0.6866666666666666
9100,0.6674725274725275,0.6903296703296703
9200,0.6669565217391304,0.688695652173913
9300,0.6658064516129032,0.6875268817204301
9400,0.6685106382978724,0.6870212765957446
9500,0.6806315789473685,0.6875789473684211
9600,0.6825,0.6870833333333334
9700,0.6824742268041237,0.688041237113402
9800,0.6687755102040817,0.686734693877551
9900,0.6828282828282828,0.6874747474747475
10000,0.6822,0.6884
