,HandOut,Training
100,0.56,0.52
200,0.46,0.44
300,0.48,0.56
400,0.525,0.44
500,0.524,0.512
600,0.5133333333333333,0.48333333333333334
700,0.5571428571428572,0.5542857142857143
800,0.46,0.47
900,0.5333333333333333,0.5066666666666667
1000,0.486,0.482
1100,0.5727272727272728,0.6309090909090909
1200,0.5483333333333333,0.5833333333333334
1300,0.5507692307692308,0.5892307692307692
1400,0.5728571428571428,0.5971428571428572
1500,0.5586666666666666,0.648
1600,0.54,0.5575
1700,0.5623529411764706,0.6364705882352941
1800,0.5822222222222222,0.6077777777777778
1900,0.56,0.5852631578947368
2000,0.543,0.575
2100,0.580952380952381,0.6066666666666667
2200,0.6045454545454545,0.6254545454545455
2300,0.5478260869565217,0.5547826086956522
2400,0.5583333333333333,0.5566666666666666
2500,0.5808,0.624
2600,0.5838461538461538,0.61
2700,0.6014814814814815,0.6044444444444445
2800,0.5692857142857143,0.6207142857142857
2900,0.5241379310344828,0.5951724137931035
3000,0.576,0.5533333333333333
3100,0.5954838709677419,0.5948387096774194
3200,0.595,0.619375
3300,0.5618181818181818,0.5381818181818182
3400,0.6282352941176471,0.6258823529411764
3500,0.6085714285714285,0.6285714285714286
3600,0.575,0.6272222222222222
3700,0.6151351351351352,0.6508108108108108
3800,0.5705263157894737,0.6147368421052631
3900,0.5164102564102564,0.5451282051282051
4000,0.6,0.61
4100,0.5634146341463414,0.6160975609756097
4200,0.6228571428571429,0.6090476190476191
4300,0.6037209302325581,0.6195348837209302
4400,0.5913636363636363,0.6054545454545455
4500,0.5977777777777777,0.6217777777777778
4600,0.5560869565217391,0.5482608695652174
4700,0.5761702127659575,0.571063829787234
4800,0.6033333333333334,0.6408333333333334
4900,0.5869387755102041,0.6130612244897959
5000,0.6072,0.6464
5100,0.5231372549019608,0.5466666666666666
5200,0.5553846153846154,0.5703846153846154
5300,0.5135849056603774,0.5381132075471698
5400,0.5088888888888888,0.53
5500,0.5265454545454545,0.5389090909090909
5600,0.5317857142857143,0.5271428571428571
5700,0.5575438596491228,0.5677192982456141
5800,0.5789655172413793,0.5813793103448276
5900,0.62,0.6461016949152543
6000,0.568,0.5636666666666666
6100,0.539016393442623,0.5504918032786885
6200,0.6164516129032258,0.6196774193548387
6300,0.6174603174603175,0.6253968253968254
6400,0.5784375,0.599375
6500,0.5953846153846154,0.6073846153846154
6600,0.6172727272727273,0.6436363636363637
6700,0.6086567164179104,0.6182089552238806
6800,0.5797058823529412,0.5673529411764706
6900,0.6031884057971014,0.6318840579710145
7000,0.526,0.5302857142857142
7100,0.5957746478873239,0.5932394366197183
7200,0.5919444444444445,0.6208333333333333
7300,0.5983561643835617,0.6202739726027398
7400,0.614054054054054,0.6272972972972973
7500,0.6026666666666667,0.6432
7600,0.6289473684210526,0.6421052631578947
7700,0.5472727272727272,0.5685714285714286
7800,0.5725641025641026,0.5787179487179487
7900,0.6075949367088608,0.6081012658227848
8000,0.583,0.5945
8100,0.6041975308641976,0.6372839506172839
8200,0.6117073170731707,0.6231707317073171
8300,0.5889156626506024,0.5990361445783132
8400,0.57,0.6092857142857143
8500,0.6211764705882353,0.656235294117647
8600,0.6083720930232558,0.622093023255814
8700,0.6108045977011495,0.6275862068965518
8800,0.6090909090909091,0.6243181818181818
8900,0.6071910112359551,0.6278651685393258
9000,0.6137777777777778,0.6448888888888888
9100,0.5435164835164835,0.523956043956044
9200,0.6078260869565217,0.6389130434782608
9300,0.6040860215053764,0.6348387096774194
9400,0.574468085106383,0.6208510638297873
9500,0.6046315789473684,0.6067368421052631
9600,0.55875,0.5639583333333333
9700,0.6208247422680412,0.6309278350515464
9800,0.6336734693877552,0.6518367346938776
9900,0.6034343434343434,0.6165656565656565
10000,0.6056,0.6178
10100,0.6124752475247525,0.601980198019802
10200,0.6011764705882353,0.625686274509804
10300,0.6085436893203884,0.6087378640776699
10400,0.6175,0.6442307692307693
10500,0.6173333333333333,0.6074285714285714
10600,0.6152830188679246,0.6422641509433962
10700,0.6069158878504672,0.6312149532710281
10800,0.5811111111111111,0.6146296296296296
10900,0.6060550458715597,0.6297247706422018
11000,0.614,0.643090909090909
11100,0.5994594594594594,0.5855855855855856
11200,0.6014285714285714,0.5996428571428571
11300,0.6146902654867257,0.6159292035398231
11400,0.622280701754386,0.6380701754385965
11500,0.6020869565217392,0.6140869565217392
11600,0.58,0.5734482758620689
11700,0.6131623931623932,0.6099145299145299
11800,0.5957627118644068,0.6093220338983051
11900,0.5568067226890756,0.5462184873949579
12000,0.615,0.6505
12100,0.6128925619834711,0.643801652892562
12200,0.599344262295082,0.6073770491803279
12300,0.608780487804878,0.6321951219512195
12400,0.5187096774193548,0.5209677419354839
12500,0.58496,0.60176
12600,0.6192063492063492,0.6441269841269841
12700,0.5741732283464567,0.5592125984251969
12800,0.625,0.64859375
12900,0.6223255813953489,0.6524031007751938
13000,0.5533846153846154,0.5738461538461539
13100,0.5975572519083969,0.6059541984732825
13200,0.5704545454545454,0.6031818181818182
13300,0.5738345864661654,0.5960902255639098
13400,0.5647761194029851,0.5582089552238806
13500,0.5708148148148148,0.6063703703703703
13600,0.553235294117647,0.5425
13700,0.6064233576642336,0.6353284671532847
13800,0.613768115942029,0.6092753623188406
13900,0.6037410071942446,0.6244604316546762
14000,0.5672857142857143,0.574
14100,0.6072340425531915,0.6154609929078014
14200,0.5550704225352112,0.57
14300,0.5811188811188811,0.5946853146853147
14400,0.6140277777777777,0.6473611111111112
14500,0.5195862068965518,0.5355862068965517
14600,0.6010958904109589,0.6380821917808219
14700,0.6248979591836735,0.6413605442176871
14800,0.6293243243243243,0.6474324324324324
14900,0.5975838926174497,0.6187919463087248
15000,0.5816,0.6006666666666667
15100,0.5414569536423841,0.5642384105960265
15200,0.6186842105263158,0.6475
15300,0.6035294117647059,0.6145098039215686
15400,0.6125974025974026,0.6403896103896104
15500,0.6042580645161291,0.6343225806451613
15600,0.6012820512820513,0.6043589743589743
15700,0.5900636942675159,0.6188535031847133
15800,0.620506329113924,0.6403797468354431
15900,0.6235220125786164,0.6470440251572327
16000,0.582,0.601125
16100,0.6007453416149068,0.6320496894409938
16200,0.6087654320987654,0.6281481481481481
16300,0.6303067484662577,0.6516564417177914
16400,0.5196341463414634,0.5325609756097561
16500,0.6013333333333334,0.6242424242424243
16600,0.5974698795180723,0.6283132530120482
16700,0.5947305389221557,0.6305389221556886
16800,0.6005952380952381,0.6320238095238095
16900,0.6073372781065088,0.6222485207100592
17000,0.6016470588235294,0.6263529411764706
17100,0.556374269005848,0.5966081871345029
17200,0.5479069767441861,0.5747674418604651
17300,0.5924855491329479,0.5953757225433526
17400,0.5835632183908046,0.6362068965517241
17500,0.5646857142857142,0.6392
17600,0.5285227272727273,0.5723863636363636
17700,0.5277966101694915,0.5349152542372881
17800,0.6058426966292135,0.6438202247191012
17900,0.6192178770949721,0.6307262569832403
18000,0.501,0.6132222222222222
18100,0.6103867403314918,0.6449723756906077
18200,0.5184615384615384,0.5359340659340659
18300,0.5215300546448087,0.5321311475409836
18400,0.5410869565217391,0.5970652173913044
18500,0.5136216216216216,0.5375135135135135
18600,0.5941935483870968,0.6337634408602151
18700,0.5922994652406417,0.6419251336898396
18800,0.6002127659574468,0.6432978723404256
18900,0.5076190476190476,0.557037037037037
19000,0.5189473684210526,0.5841052631578947
19100,0.5237696335078534,0.5414659685863874
19200,0.5053125,0.5551041666666666
19300,0.6003108808290155,0.6094300518134715
19400,0.5916494845360825,0.6094845360824742
19500,0.5987692307692307,0.6451282051282051
19600,0.5444897959183673,0.5907142857142857
19700,0.5601015228426396,0.596751269035533
19800,0.6214141414141414,0.6332323232323233
19900,0.5975879396984924,0.6351758793969849
20000,0.5721,0.637
20100,0.6042786069651741,0.6213930348258706
20200,0.5037623762376238,0.534950495049505
20300,0.5993103448275862,0.6492610837438424
20400,0.606078431372549,0.6333333333333333
20500,0.5150243902439025,0.5581463414634147
20600,0.5989320388349515,0.6405825242718447
20700,0.49816425120772945,0.5467632850241546
20800,0.6106730769230769,0.6161538461538462
20900,0.6035406698564594,0.6160765550239234
21000,0.5679047619047619,0.6460952380952381
21100,0.5874881516587678,0.6255924170616114
21200,0.5128301886792452,0.5690566037735849
21300,0.5189671361502347,0.6044131455399061
21400,0.6103738317757009,0.6081308411214953
21500,0.6165581395348837,0.6372093023255814
21600,0.5476851851851852,0.6307407407407407
21700,0.5165898617511521,0.5746543778801844
21800,0.5999082568807339,0.6355963302752293
21900,0.5438356164383562,0.5791780821917808
22000,0.5371818181818182,0.5756363636363636
22100,0.5389140271493212,0.5804524886877828
22200,0.5472972972972973,0.5846846846846847
22300,0.4923766816143498,0.5417040358744395
22400,0.5151785714285714,0.57625
22500,0.5893333333333334,0.6364444444444445
22600,0.48787610619469024,0.5183185840707965
22700,0.5487224669603524,0.5794713656387666
22800,0.4906140350877193,0.5397368421052632
22900,0.5473362445414847,0.6498689956331878
23000,0.5308695652173913,0.6000869565217392
23100,0.5228571428571429,0.6418181818181818
23200,0.5477586206896552,0.5962931034482759
23300,0.5912446351931331,0.6397424892703862
23400,0.5196581196581197,0.5611111111111111
23500,0.5451914893617021,0.6245957446808511
23600,0.46932203389830507,0.5202542372881356
23700,0.5346835443037975,0.6172151898734177
23800,0.6171428571428571,0.6173949579831933
23900,0.6210878661087866,0.6266945606694561
24000,0.5225,0.5654166666666667
24100,0.4887966804979253,0.5106224066390042
24200,0.594793388429752,0.6391735537190083
24300,0.48148148148148145,0.574485596707819
24400,0.6014754098360656,0.6090983606557377
24500,0.5431020408163265,0.6406530612244898
24600,0.5889430894308944,0.6169105691056911
24700,0.5152226720647773,0.5326315789473685
24800,0.5995967741935484,0.6229838709677419
24900,0.575582329317269,0.6325301204819277
25000,0.59792,0.63584
25100,0.5727490039840637,0.6000796812749004
25200,0.553015873015873,0.6452380952380953
25300,0.6272727272727273,0.6266403162055336
25400,0.574015748031496,0.6110236220472441
25500,0.6158431372549019,0.6290980392156863
25600,0.496640625,0.5515625
