action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,remaining_time,dist
Jump Shot,Jump Shot,10,20000012,33.9723,167,72,-118.1028,10,1,0,2000-01,27,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,1,627,181.8598361376145
Jump Shot,Jump Shot,254,20000012,34.0163,1,28,-118.2688,8,3,0,2000-01,5,2,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-10-31,LAL @ POR,POR,8,485,28.0178514522438
Driving Layup Shot,Layup,100,20000019,34.0443,0,0,-118.2698,0,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,17,1,0.0
Driving Layup Shot,Layup,249,20000019,34.0443,0,0,-118.2698,10,3,0,2000-01,46,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,20,646,0.0
Jump Shot,Jump Shot,4,20000047,33.9683,163,76,-118.1068,11,1,0,2000-01,26,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,33,686,179.8471573308847
Jump Shot,Jump Shot,8,20000047,33.8503,70,194,-118.1998,10,1,0,2000-01,58,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,34,658,206.24257562394826
Layup Shot,Layup,26,20000047,34.0253,1,19,-118.2688,7,1,0,2000-01,33,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,35,453,19.02629759044045
Layup Shot,Layup,37,20000047,34.0293,-12,15,-118.2818,5,1,0,2000-01,58,1,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,36,358,19.209372712298546
Reverse Layup Shot,Layup,53,20000047,34.0403,1,4,-118.2688,4,1,0,2000-01,9,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,37,249,4.123105625617661
Jump Shot,Jump Shot,165,20000047,33.9283,-117,116,-118.3868,5,2,0,2000-01,33,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,38,333,164.75739740600417
Layup Shot,Layup,281,20000047,34.0253,-12,19,-118.2818,4,3,0,2000-01,29,2,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,45,269,22.47220505424423
Jump Shot,Jump Shot,410,20000047,34.0143,-176,30,-118.4458,3,4,0,2000-01,19,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,50,199,178.53851125177448
Jump Shot,Jump Shot,60,20000049,33.7973,-141,247,-118.4108,4,1,0,2000-01,58,28,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,55,298,284.41167345944154
Jump Shot,Jump Shot,199,20000049,33.8033,146,241,-118.1238,3,2,0,2000-01,10,28,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,60,190,281.774732721016
Jump Shot,Jump Shot,397,20000049,33.9533,-10,91,-118.2798,10,4,0,2000-01,13,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-05,LAL vs. LAC,LAC,66,613,91.5478017212866
Jump Shot,Jump Shot,22,20000058,34.0083,-119,36,-118.3888,9,1,0,2000-01,6,12,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,67,546,124.32618388738553
Jump Shot,Jump Shot,55,20000058,33.9343,159,110,-118.1108,5,1,0,2000-01,15,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,71,315,193.34166648707668
Jump Shot,Jump Shot,313,20000058,33.9973,58,47,-118.2118,11,4,0,2000-01,49,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-07,LAL @ HOU,HOU,80,709,74.65252842335615
Jump Shot,Jump Shot,20,20000068,33.9743,-29,70,-118.2988,9,1,0,2000-01,48,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,85,588,75.76938695805845
Turnaround Jump Shot,Jump Shot,33,20000068,33.9953,-124,49,-118.3938,7,1,0,2000-01,26,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,86,446,133.33041663476493
Turnaround Jump Shot,Jump Shot,180,20000068,34.0403,132,4,-118.1378,4,2,0,2000-01,25,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,95,265,132.06059215375342
Jump Shot,Jump Shot,286,20000068,33.9073,-101,137,-118.3708,4,3,0,2000-01,16,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,104,256,170.20575783445162
Jump Shot,Jump Shot,418,20000068,33.8943,-151,150,-118.4208,0,4,0,2000-01,43,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,113,43,212.8403157298917
Jump Shot,Jump Shot,217,20000098,33.9913,-155,53,-118.4248,2,2,0,2000-01,40,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,123,160,163.8108665504215
Running Jump Shot,Jump Shot,261,20000098,33.9113,-96,133,-118.3658,9,3,0,2000-01,59,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,126,599,164.02743672934722
Reverse Layup Shot,Layup,327,20000098,34.0443,0,0,-118.2698,2,3,0,2000-01,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,133,176,0.0
