action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,remaining_time,dist
Driving Layup Shot,Layup,100,20000019,34.0443,0,0,-118.2698,0,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-01,LAL vs. UTA,UTA,17,1,0.0
Layup Shot,Layup,26,20000047,34.0253,1,19,-118.2688,7,1,0,2000-01,33,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-04,LAL @ VAN,VAN,35,453,19.02629759044045
Reverse Layup Shot,Layup,327,20000098,34.0443,0,0,-118.2698,2,3,0,2000-01,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,133,176,0.0
Driving Layup Shot,Layup,120,20000108,34.0443,0,0,-118.2698,10,2,0,2000-01,5,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,150,605,0.0
Dunk Shot,Dunk,418,20000108,34.0443,0,0,-118.2698,5,4,0,2000-01,32,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,165,332,0.0
Jump Shot,Jump Shot,54,20000140,34.0503,174,-6,-118.0958,6,1,0,2000-01,24,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,192,384,174.1034175425629
Driving Layup Shot,Layup,57,20000140,34.0443,0,0,-118.2698,6,1,0,2000-01,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,193,362,0.0
Jump Shot,Jump Shot,56,20000180,33.8903,106,154,-118.1638,6,1,0,2000-01,22,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-24,LAL vs. MIN,MIN,257,382,186.9545399288287
Layup Shot,Layup,250,20000267,34.0443,0,0,-118.2698,8,3,0,2000-01,25,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-06,LAL @ GSW,GSW,439,505,0.0
Driving Layup Shot,Layup,453,20000320,34.0443,0,0,-118.2698,0,4,0,2000-01,47,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-13,LAL @ POR,POR,555,47,0.0
Driving Layup Shot,Layup,402,20000373,34.0443,0,0,-118.2698,6,4,0,2000-01,16,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-21,LAL @ HOU,HOU,651,376,0.0
Alley Oop Dunk Shot,Dunk,296,20000379,34.0443,0,0,-118.2698,5,3,0,2000-01,51,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-12-22,LAL @ DAL,DAL,670,351,0.0
Layup Shot,Layup,53,20000456,34.0443,0,0,-118.2698,6,1,0,2000-01,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-03,LAL vs. UTA,UTA,735,361,0.0
Driving Layup Shot,Layup,84,20000571,34.0443,0,0,-118.2698,1,1,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-19,LAL vs. HOU,HOU,859,90,0.0
Jump Shot,Jump Shot,16,20000599,33.9813,-4,63,-118.2738,9,1,0,2000-01,19,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-23,LAL @ SEA,SEA,903,559,63.12685640834652
Jump Shot,Jump Shot,110,20000641,34.0523,167,-8,-118.1028,1,1,0,2000-01,34,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-01-30,LAL @ CLE,CLE,975,94,167.19150696132863
Layup Shot,Layup,417,20000641,34.0373,7,7,-118.2628,8,4,0,2000-01,36,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-30,LAL @ CLE,CLE,989,516,9.899494936611664
Layup Shot,Layup,92,20000651,34.0443,0,0,-118.2698,1,1,0,2000-01,29,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-01-31,LAL @ MIN,MIN,998,89,0.0
Layup Shot,Layup,247,20000739,34.0443,0,0,-118.2698,2,2,0,2000-01,14,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-02-16,LAL @ CHH,CHA,1138,134,0.0
Jump Shot,Jump Shot,115,20000860,33.9193,79,125,-118.1908,1,1,0,2000-01,4,14,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-03-04,LAL vs. GSW,GSW,1241,64,147.87156589419075
Turnaround Jump Shot,Jump Shot,358,20000896,33.9763,22,68,-118.2478,0,3,0,2000-01,27,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-03-09,LAL vs. SAS,SAS,1322,27,71.47027354082255
Dunk Shot,Dunk,527,20100143,34.0443,0,0,-118.2698,1,4,0,2001-02,5,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-18,LAL vs. SAC,SAC,1680,65,0.0
Jump Shot,Jump Shot,25,20100161,34.0183,-48,26,-118.3178,7,1,0,2001-02,51,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-21,LAL @ DEN,DEN,1696,471,54.589376255824725
Driving Layup Shot,Layup,444,20100204,34.0443,0,0,-118.2698,3,4,0,2001-02,57,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-27,LAL vs. MIL,MIL,1765,237,0.0
Jump Shot,Jump Shot,454,20100271,33.8633,169,181,-118.1008,0,4,0,2001-02,41,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-12-07,LAL @ SAC,SAC,1843,41,247.6327926588076
Jump Shot,Jump Shot,20,20100399,33.9003,150,144,-118.1198,9,1,0,2001-02,50,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-12-26,LAL @ GSW,GSW,1967,590,207.9326814139615
Driving Layup Shot,Layup,118,20100668,34.0443,0,0,-118.2698,0,1,0,2001-02,20,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-03,LAL @ DAL,DAL,2414,20,0.0
Driving Layup Shot,Layup,183,20100691,34.0443,0,0,-118.2698,4,2,0,2001-02,6,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-06,LAL vs. CHI,CHI,2435,246,0.0
Driving Layup Shot,Layup,331,20100691,34.0443,0,0,-118.2698,2,3,0,2001-02,38,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-06,LAL vs. CHI,CHI,2446,158,0.0
Driving Layup Shot,Layup,447,20100720,34.0443,0,0,-118.2698,0,4,0,2001-02,27,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-14,LAL @ SEA,SEA,2495,27,0.0
Driving Layup Shot,Layup,192,20100758,34.0443,0,0,-118.2698,3,2,0,2001-02,42,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-19,LAL vs. BOS,BOS,2542,222,0.0
Layup Shot,Layup,45,20100778,34.0443,0,0,-118.2698,5,1,0,2001-02,33,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-22,LAL @ CHH,CHA,2586,333,0.0
Layup Shot,Layup,182,20100803,34.0443,0,0,-118.2698,3,2,0,2001-02,43,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-02-26,LAL @ MIL,MIL,2631,223,0.0
Driving Dunk Shot,Dunk,275,20100830,34.0443,0,0,-118.2698,9,3,0,2001-02,9,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-03-01,LAL vs. IND,IND,2680,549,0.0
Jump Shot,Jump Shot,363,20100865,34.0503,161,-6,-118.1088,10,4,0,2001-02,10,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2002-03-06,LAL @ UTA,UTA,2704,610,161.11176245079062
Driving Layup Shot,Layup,103,20100934,34.0443,0,0,-118.2698,0,1,0,2001-02,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-03-15,LAL vs. LAC,LAC,2757,11,0.0
Driving Layup Shot,Layup,46,20100986,34.0443,0,0,-118.2698,5,1,0,2001-02,54,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-03-22,LAL vs. DET,DET,2828,354,0.0
Driving Layup Shot,Layup,487,20100986,34.0443,0,0,-118.2698,0,4,0,2001-02,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2002-03-22,LAL vs. DET,DET,2842,24,0.0
